buy_date,latest_date,strategy,universe,ticker,name,sector,original_rank,current_rank,return,buy_close,latest_close,selection_reason,signal_reason
2026-08-05,2026-08-05,Early,S&P 500,GOOGL,Alphabet Inc. (Class A),Communication Services,1,1,0.00000000,362.429993,362.429993,4H当日前50,4H EMA9 已站上 EMA26，等待 26/50 确认；4H MACD 位于 Signal 上方；4H RSI 位于健康强势区间
2026-08-05,2026-08-05,Early,S&P 500,LOW,Lowe's,Consumer Discretionary,2,2,0.00000000,219.880005,219.880005,4H当日前50,4H EMA9 已站上 EMA26，等待 26/50 确认；4H MACD 位于 Signal 上方；4H MACD 柱体连续扩张；4H RSI 位于健康强势区间
2026-08-05,2026-08-05,Early,S&P 500,CVNA,Carvana,Consumer Discretionary,3,3,0.00000000,69.474998,69.474998,4H当日前50,4H EMA9 已站上 EMA26，等待 26/50 确认；4H MACD 位于 Signal 上方；4H MACD 柱体连续扩张；4H RSI 位于健康强势区间
2026-08-05,2026-08-05,Early,S&P 500,PWR,Quanta Services,Industrials,4,4,0.00000000,682.974976,682.974976,4H当日前50,4H EMA9 已站上 EMA26，等待 26/50 确认；4H MACD 位于 Signal 上方；4H RSI 位于健康强势区间
2026-08-05,2026-08-05,Early,S&P 500,TER,Teradyne,Information Technology,5,5,0.00000000,389.390015,389.390015,4H当日前50,4H EMA9 已站上 EMA26，等待 26/50 确认；4H MACD 位于 Signal 上方；4H RSI 位于健康强势区间
2026-08-05,2026-08-05,Early,S&P 500,AMT,American Tower,Real Estate,6,6,0.00000000,168.029999,168.029999,4H当日前50,4H EMA9 已站上 EMA26，等待 26/50 确认
2026-08-05,2026-08-05,Early,S&P 500,SMCI,Supermicro,Information Technology,7,7,0.00000000,30.320000,30.320000,4H当日前50,4H EMA9 已站上 EMA26，等待 26/50 确认；4H MACD 位于 Signal 上方；4H RSI 位于健康强势区间
2026-08-05,2026-08-05,Early,S&P 500,HUBB,Hubbell Incorporated,Industrials,8,8,0.00000000,513.849976,513.849976,4H当日前50,4H EMA9/26 最近金叉且价格在 EMA50 上方；4H MACD 位于 Signal 上方；4H MACD 柱体连续扩张；4H RSI 位于健康强势区间
2026-08-05,2026-08-05,Early,S&P 500,WST,West Pharmaceutical Services,Health Care,9,9,0.00000000,350.869995,350.869995,4H当日前50,4H EMA9/26 最近金叉且价格在 EMA50 上方；4H MACD 位于 Signal 上方；4H MACD 柱体连续扩张；4H RSI 位于健康强势区间
2026-08-05,2026-08-05,Early,S&P 500,EME,Emcor,Industrials,10,10,0.00000000,821.549988,821.549988,4H当日前50,4H EMA9 已站上 EMA26，等待 26/50 确认；4H MACD 位于 Signal 上方；4H RSI 位于健康强势区间
2026-08-05,2026-08-05,Early,S&P 500,COST,Costco,Consumer Staples,11,11,0.00000000,941.989990,941.989990,4H当日前50,4H EMA9 已站上 EMA26，等待 26/50 确认
2026-08-05,2026-08-05,Early,S&P 500,OMC,Omnicom Group,Communication Services,12,12,0.00000000,81.705002,81.705002,4H当日前50,4H EMA9/26 最近金叉且价格在 EMA50 上方；4H MACD 零轴上方刚金叉；4H MACD 柱体连续扩张；4H RSI 位于健康强势区间
2026-08-05,2026-08-05,Early,S&P 500,DIS,Walt Disney Company (The),Communication Services,13,13,0.00000000,101.769997,101.769997,4H当日前50,4H EMA9 已站上 EMA26，等待 26/50 确认；4H MACD 位于 Signal 上方；4H MACD 柱体连续扩张
2026-08-05,2026-08-05,Early,S&P 500,CPRT,Copart,Industrials,14,14,0.00000000,28.910000,28.910000,4H当日前50,4H EMA9 已站上 EMA26，等待 26/50 确认；4H RSI 位于健康强势区间
2026-08-05,2026-08-05,Early,S&P 500,SWKS,Skyworks Solutions,Information Technology,15,15,0.00000000,66.989998,66.989998,4H当日前50,4H EMA9 已站上 EMA26，等待 26/50 确认；4H MACD 位于 Signal 上方；4H MACD 柱体连续扩张；4H RSI 位于健康强势区间
2026-08-05,2026-08-05,Early,S&P 500,NOC,Northrop Grumman,Industrials,16,16,0.00000000,557.500000,557.500000,4H当日前50,4H EMA 多头排列已连续维持；4H MACD 位于 Signal 上方；4H MACD 柱体连续扩张；4H RSI 位于健康强势区间
2026-08-05,2026-08-05,Early,S&P 500,CL,Colgate-Palmolive,Consumer Staples,17,17,0.00000000,93.250000,93.250000,4H当日前50,4H EMA9/26 最近金叉且价格在 EMA50 上方；4H MACD 刚金叉但仍需零轴确认；4H MACD 柱体连续扩张；4H RSI 位于健康强势区间
2026-08-05,2026-08-05,Early,S&P 500,LULU,Lululemon Athletica,Consumer Discretionary,18,18,0.00000000,123.510002,123.510002,4H当日前50,4H EMA 多头排列已连续维持；4H MACD 位于 Signal 上方；4H RSI 位于健康强势区间
2026-08-05,2026-08-05,Early,S&P 500,CMCSA,Comcast,Communication Services,19,19,0.00000000,24.750000,24.750000,4H当日前50,4H EMA 多头排列已连续维持；4H MACD 位于 Signal 上方；4H RSI 位于健康强势区间
2026-08-05,2026-08-05,Early,S&P 500,OTIS,Otis Worldwide,Industrials,20,20,0.00000000,73.095001,73.095001,4H当日前50,4H EMA 多头排列已连续维持；4H MACD 位于 Signal 上方；4H RSI 位于健康强势区间
2026-08-05,2026-08-05,Early,S&P 500,AIG,American International Group,Financials,21,21,0.00000000,80.144997,80.144997,4H当日前50,4H EMA9/26 最近金叉且价格在 EMA50 上方；4H MACD 零轴上方刚金叉；4H MACD 柱体连续扩张；4H RSI 位于健康强势区间
2026-08-05,2026-08-05,Early,S&P 500,ORLY,O’Reilly Automotive,Consumer Discretionary,22,22,0.00000000,93.440002,93.440002,4H当日前50,4H EMA 多头排列已连续维持；4H MACD 位于 Signal 上方；4H MACD 柱体连续扩张；4H RSI 位于健康强势区间
2026-08-05,2026-08-05,Early,S&P 500,HSY,Hershey Company (The),Consumer Staples,23,23,0.00000000,179.610001,179.610001,4H当日前50,4H EMA 多头排列已连续维持；4H MACD 柱体连续扩张；4H RSI 位于健康强势区间
2026-08-05,2026-08-05,Early,S&P 500,SLB,Schlumberger,Energy,24,24,0.00000000,49.910000,49.910000,4H当日前50,4H MACD 零轴上方刚金叉；4H RSI 位于健康强势区间
2026-08-05,2026-08-05,Early,S&P 500,MOS,Mosaic Company (The),Materials,25,25,0.00000000,23.420000,23.420000,4H当日前50,4H EMA 多头排列已连续维持；4H MACD 零轴上方刚金叉；4H MACD 柱体连续扩张；4H RSI 位于健康强势区间
2026-08-05,2026-08-05,Early,S&P 500,PFE,Pfizer,Health Care,26,26,0.00000000,25.795000,25.795000,4H当日前50,4H EMA 多头排列已连续维持；4H MACD 位于 Signal 上方；4H MACD 柱体连续扩张；4H RSI 位于健康强势区间
2026-08-05,2026-08-05,Early,S&P 500,AXP,American Express,Financials,27,27,0.00000000,348.929993,348.929993,4H当日前50,4H EMA 多头排列已连续维持；4H MACD 位于 Signal 上方；4H MACD 柱体连续扩张；4H RSI 位于健康强势区间
2026-08-05,2026-08-05,Early,S&P 500,NEM,Newmont,Materials,28,28,0.00000000,104.269997,104.269997,4H当日前50,4H EMA9 已站上 EMA26，等待 26/50 确认；4H MACD 位于 Signal 上方；4H MACD 柱体连续扩张
2026-08-05,2026-08-05,Early,S&P 500,GOOG,Alphabet Inc. (Class C),Communication Services,29,29,0.00000000,360.130005,360.130005,4H当日前50,4H MACD 位于 Signal 上方；4H RSI 位于健康强势区间
