early_signal_rank,ticker,name,index,sector,early_signal_score,ema_score,ema_state,macd_score,macd_state,cat_score,prism_score,overheat_penalty,technical_coverage,source_data,signal,risk
1,AZTA,AZENTA INC,NASDAQ+RUSSELL2000,Health Care,77.81,85.0,early_transition,63.15,bullish_above_signal_proxy,94.65,54.18,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
2,VICR,VICOR CORP,NASDAQ+RUSSELL2000,Industrials,75.25,75.0,confirmed_bullish_trend,90.15,fresh_above_zero_cross_proxy,75.97,49.44,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
3,CRDO,CREDO TECHNOLOGY GROUP HOLDING LTD,NASDAQ+RUSSELL2000,Information Technology,75.19,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,100.0,54.25,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
4,SDGR,SCHRODINGER INC,NASDAQ+RUSSELL2000,Health Care,75.12,75.0,confirmed_bullish_trend,90.15,fresh_above_zero_cross_proxy,75.15,50.28,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
5,DNA,GINKGO BIOWORKS HOLDINGS INC CLASS,RUSSELL2000,Health Care,74.32,100.0,fresh_bullish_cross,90.15,fresh_above_zero_cross_proxy,50.0,45.25,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
6,ISPR,ISPIRE TECHNOLOGY INC,NASDAQ+RUSSELL2000,Consumer Staples,74.19,100.0,fresh_bullish_cross,73.15,fresh_below_zero_cross_proxy,62.48,47.75,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: fresh_below_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
7,MASS,908 DEVICES INC,NASDAQ+RUSSELL2000,Information Technology,74.11,75.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,82.64,50.78,3.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,event-level volume; MACD snapshot proxy; double-cross history unavailable
8,ADPT,ADAPTIVE BIOTECHNOLOGIES CORP,NASDAQ+RUSSELL2000,Health Care,73.68,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,94.99,54.25,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
9,PAYS,PAYSIGN INC,NASDAQ+RUSSELL2000,Financials,73.59,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,74.71,49.19,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
10,TBCH,TURTLE BEACH CORP,NASDAQ+RUSSELL2000,Information Technology,73.5,75.0,confirmed_bullish_trend,90.15,fresh_above_zero_cross_proxy,70.68,48.39,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
11,RNAC,CARTESIAN THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,73.29,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,93.81,54.01,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
12,ERAS,ERASCA INC,NASDAQ+RUSSELL2000,Health Care,73.28,85.0,early_transition,61.8,bullish_above_signal_proxy,81.95,51.64,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
13,SPRY,ARS PHARMACEUTICALS INC,NASDAQ+RUSSELL2000,Health Care,73.22,75.0,confirmed_bullish_trend,63.15,bullish_above_signal_proxy,89.84,53.22,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
14,FWRD,FORWARD AIR CORP,NASDAQ+RUSSELL2000,Industrials,73.09,85.0,early_transition,49.8,bullish_below_zero_proxy,100.0,54.25,3.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,event-level volume; MACD snapshot proxy; double-cross history unavailable
15,ABSI,ABSCI CORP,NASDAQ+RUSSELL2000,Health Care,72.8,75.0,confirmed_bullish_trend,63.15,bullish_above_signal_proxy,88.55,52.96,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
16,FBYD,FALCON S BEYOND GLOBAL INC CLASS A,NASDAQ+RUSSELL2000,Industrials,72.76,75.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,89.91,52.23,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
17,HTFL,HEARTFLOW INC,NASDAQ+RUSSELL2000,Health Care,71.84,75.0,confirmed_bullish_trend,63.15,bullish_above_signal_proxy,85.66,52.38,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
18,WGS,GENEDX HOLDINGS CORP CLASS A,NASDAQ+RUSSELL2000,Health Care,71.79,82.0,early_transition,61.8,bullish_above_signal_proxy,80.17,51.28,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
19,GCBC,GREENE COUNTY BANCORP INC,NASDAQ+RUSSELL2000,Financials,71.04,75.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,84.7,51.19,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
20,MTRX,MATRIX SERVICE,NASDAQ+RUSSELL2000,Industrials,70.8,75.0,confirmed_bullish_trend,90.15,fresh_above_zero_cross_proxy,62.49,46.75,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
21,INNV,INNOVAGE HOLDING CORP,NASDAQ+RUSSELL2000,Health Care,70.75,75.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,83.36,51.92,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
22,HCAT,HEALTH CATALYST INC,NASDAQ+RUSSELL2000,Health Care,70.62,75.0,confirmed_bullish_trend,63.15,bullish_above_signal_proxy,81.95,51.64,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
23,SWIM,LATHAM GROUP INC,NASDAQ+RUSSELL2000,Consumer Discretionary,70.51,85.0,early_transition,61.8,bullish_above_signal_proxy,74.02,49.05,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
24,ELDN,ELEDON PHARMACEUTICALS INC,NASDAQ+RUSSELL2000,Health Care,70.48,100.0,fresh_bullish_cross,71.8,fresh_below_zero_cross_proxy,52.25,45.7,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: fresh_below_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
25,TZOO,TRAVELZOO,NASDAQ+RUSSELL2000,Communication,70.4,75.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,62.3,46.71,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
